ob,center,trt,value
3,1,C,Death
14,2,C,Death
11,3,C,Death
127,4,C,Death
27,5,C,Death
6,6,C,Death
152,7,C,Death
48,8,C,Death
37,9,C,Death
188,10,C,Death
52,11,C,Death
39,1,C,Total
116,2,C,Total
93,3,C,Total
1520,4,C,Total
365,5,C,Total
52,6,C,Total
939,7,C,Total
471,8,C,Total
282,9,C,Total
1921,10,C,Total
583,11,C,Total
3,1,T,Death
7,2,T,Death
5,3,T,Death
102,4,T,Death
28,5,T,Death
4,6,T,Death
98,7,T,Death
60,8,T,Death
25,9,T,Death
138,10,T,Death
64,11,T,Death
38,1,T,Total
114,2,T,Total
69,3,T,Total
1533,4,T,Total
355,5,T,Total
59,6,T,Total
945,7,T,Total
632,8,T,Total
278,9,T,Total
1916,10,T,Total
873,11,T,Total
47,1,C,Death
16,2,C,Death
45,3,C,Death
31,4,C,Death
38,5,C,Death
12,6,C,Death
6,7,C,Death
3,8,C,Death
40,9,C,Death
43,10,C,Death
39,11,C,Death
266,1,C,Total
293,2,C,Total
883,3,C,Total
147,4,C,Total
213,5,C,Total
122,6,C,Total
154,7,C,Total
134,8,C,Total
218,9,C,Total
364,10,C,Total
674,11,C,Total
45,1,T,Death
9,2,T,Death
57,3,T,Death
25,4,T,Death
33,5,T,Death
28,6,T,Death
8,7,T,Death
6,8,T,Death
32,9,T,Death
27,10,T,Death
22,11,T,Death
263,1,T,Total
291,2,T,Total
858,3,T,Total
154,4,T,Total
207,5,T,Total
251,6,T,Total
151,7,T,Total
174,8,T,Total
209,9,T,Total
391,10,T,Total
680,11,T,Total
